code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
ASN00002020;;;;;;MOOLA BULLA;ghcnd;ASN00002020;01d;127.5011;-18.1894;430.0
ASN00002021;;;;;;MOUNT AMHURST;ghcnd;ASN00002021;01d;126.9892;-18.3869;300.0
ASN00002022;;;;;;MOUNT WINIFRED;ghcnd;ASN00002022;01d;126.3033;-18.0160;180.0
ASN00002023;;;;;;NICHOLSON;ghcnd;ASN00002023;01d;128.8942;-18.0308;380.0
ASN00002024;;;;;;ORD RIVER;ghcnd;ASN00002024;01d;128.8500;-17.4000;-999.9
ASN00002025;;;;;;ROCKHOLE DOWNS;ghcnd;ASN00002025;01d;127.5667;-18.3667;-999.9
ASN00002026;;;;;;RUBY PLAINS;ghcnd;ASN00002026;01d;127.6419;-18.5958;450.0
ASN00002027;;;;;;SPEEWA STATION;ghcnd;ASN00002027;01d;128.0333;-16.3500;-999.9
ASN00002028;;;;;;SPRING CREEK;ghcnd;ASN00002028;01d;128.8656;-16.8181;180.0
ASN00002029;;;;;;STURT CREEK;ghcnd;ASN00002029;01d;128.1633;-19.1625;400.0
ASN00002030;;;;;;YULMBU;ghcnd;ASN00002030;01d;126.9150;-17.2964;450.0
ASN00002031;;;;;;TEXAS DOWNS;ghcnd;ASN00002031;01d;128.4669;-17.0103;250.0
ASN00002032;;;;;;WARMUN;ghcnd;ASN00002032;01d;128.2175;-17.0156;203.0
ASN00002033;;;;;;TURNER RIVER;ghcnd;ASN00002033;01d;128.3000;-17.8000;-999.9
ASN00002034;;;;;;ELVIRE;ghcnd;ASN00002034;01d;127.9500;-18.4500;-999.9
ASN00002035;;;;;;GREENVALE;ghcnd;ASN00002035;01d;127.7500;-17.1500;-999.9
ASN00002036;;;;;;OLD MORNINGTON HOMESTEAD;ghcnd;ASN00002036;01d;126.2306;-17.3922;280.0
ASN00002037;;;;;;VIOLET VALLEY;ghcnd;ASN00002037;01d;128.0000;-17.3000;-999.9
ASN00002038;;;;;;KUNUNURRA;ghcnd;ASN00002038;01d;128.7353;-15.7828;47.0
ASN00002039;;;;;;DIMOND GORGE;ghcnd;ASN00002039;01d;126.0333;-17.6667;-999.9
ASN00002040;;;;;;SAUNDERS CREEK;ghcnd;ASN00002040;01d;127.9833;-18.0333;-999.9
ASN00002041;;;;;;ORD RIVER REGENERATION STATION;ghcnd;ASN00002041;01d;128.9231;-17.3850;170.0
ASN00002042;;;;;;GLENROY;ghcnd;ASN00002042;01d;126.1086;-17.3594;240.0
ASN00002043;;;;;;MOUNT KRAUSS;ghcnd;ASN00002043;01d;126.1243;-18.3368;160.0
